Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
lebanon,527,18,54,7,1,0
bulgaria,522,18,37,19,1,3
azerbaijan,521,5,32,0,0,0
slovakia,485,1,10,14,0,0
north-macedonia,483,17,20,0,0,0
andorra,466,17,21,0,0,0
belarus,440,5,53,0,0,0
costa-rica,435,2,13,0,0,0
cyprus,426,9,33,0,0,0
uruguay,400,5,93,0,0,0
taiwan,363,5,54,8,0,4
afghanistan,337,7,15,38,0,5
réunion,334,0,40,0,0,0
albania,333,20,99,0,0,0
jordan,323,5,74,0,0,0
burkina-faso,318,16,66,0,0,0
oman,298,2,61,21,0,0
uzbekistan,298,2,25,32,0,0
cuba,288,6,15,0,0,0
honduras,268,22,6,4,7,3
channel-islands,262,5,13,0,0,0
san-marino,259,32,27,0,0,0
ivory-coast,245,1,25,0,0,0
vietnam,240,0,90,0,0,0
mauritius,227,7,7,31,0,0
palestine,226,1,23,9,0,2
senegal,219,2,72,0,0,0
ghana,214,5,31,9,0,0
nigeria,214,4,25,0,0,0
malta,213,0,2,0,0,0
montenegro,203,2,1,2,0,0
faroe-islands,181,0,99,0,0,6
georgia,170,2,36,8,1,0
sri-lanka,166,5,29,0,0,2
bolivia,157,10,2,18,0,1
venezuela,155,7,52,0,0,0
congo-kinshasa,154,18,3,0,0,0
kyrgyzstan,147,1,9,3,0,0
martinique,145,3,27,0,0,0
niger,144,8,0,0,0,0
kosovo,140,1,23,5,0,7
brunei,135,1,73,0,0,7
guadeloupe,134,7,24,0,0,0
mayotte,134,2,14,0,0,0
isle-of-man,126,1,0,0,0,0
kenya,126,4,4,0,0,0
cambodia,114,0,50,0,0,0
guinea,111,0,5,0,0,0
paraguay,104,3,12,8,0,0
trinidad-and-tobago,103,6,1,0,0,0
rwanda,102,0,0,0,0,0
gibraltar,98,0,52,0,0,0
bangladesh,88,9,30,18,1,0
liechtenstein,77,1,0,0,0,0
madagascar,70,0,0,0,0,0
monaco,66,1,3,0,0,0
aruba,64,0,1,0,0,0
el-salvador,62,3,2,6,0,0
french-guiana,61,0,22,0,0,0
guatemala,61,2,15,0,0,0
jamaica,55,3,7,2,0,0
barbados,52,0,0,0,0,0
djibouti,50,0,8,0,0,0
uganda,48,0,0,0,0,0
macau,44,0,10,0,0,0
mali,41,3,1,0,0,0
togo,41,3,17,0,0,0
zambia,39,1,2,0,0,0
ethiopia,38,0,4,0,0,0
bermuda,37,0,14,2,0,0
cayman-islands,35,1,1,0,0,0
eritrea,29,0,0,0,0,0
saint-martin,29,2,7,5,0,2
bahamas,28,4,0,0,0,0
sint-maarten,25,4,6,2,0,0
guyana,24,4,0,1,0,0
congo-brazzaville,22,2,2,0,0,0
haiti,21,0,1,1,0,0
myanmar,21,1,0,0,0,0
gabon,21,1,1,0,0,0
tanzania,20,1,3,0,0,0
maldives,19,0,13,0,0,0
syria,19,2,2,3,0,0
guinea-bissau,18,0,0,0,0,0
libya,18,1,0,0,0,0
new-caledonia,17,0,1,0,0,0
namibia,16,0,3,2,0,0
benin,16,0,2,0,0,0
equatorial-guinea,16,0,1,0,0,0
antigua-and-barbuda,15,0,0,0,0,0
dominica,14,0,0,0,0,0
saint-lucia,14,0,1,0,0,0
mongolia,14,0,2,0,0,0
grenada,12,0,0,0,0,0
fiji,12,0,0,0,0,0
greenland,11,0,3,0,0,0
curaçao,11,1,5,0,0,0
laos,11,0,0,1,0,0
liberia,10,1,3,0,0,0
mozambique,10,0,1,0,0,0
angola,10,2,2,0,0,0
suriname,10,1,0,0,0,0
seychelles,10,0,0,0,0,0
sudan,10,2,2,0,0,0
ms-zaandam,9,2,0,0,0,0
chad,9,0,0,0,0,0
zimbabwe,9,1,0,0,0,0
nepal,9,0,1,0,0,0
eswatini,9,0,0,0,0,0
car,8,0,0,0,0,0
vatican-city,7,0,0,0,0,0
st-vincent-grenadines,7,0,1,0,0,0
cabo-verde,7,1,0,0,0,0
somalia,7,0,1,0,0,0
mauritania,6,1,2,0,0,0
montserrat,6,0,0,0,0,0
st-barth,6,0,1,0,0,0
turks-and-caicos,5,0,0,0,0,0
nicaragua,5,1,0,0,0,0
bhutan,5,0,2,0,0,0
belize,4,0,0,0,0,0
western-sahara,4,0,0,0,0,0
botswana,4,1,0,0,0,0
malawi,4,0,0,0,0,0
gambia,4,1,2,0,0,0
sierra-leone,4,0,0,0,0,0
british-virgin-islands,3,0,0,0,0,0
burundi,3,0,0,0,0,0
anguilla,3,0,0,0,0,0
caribbean-netherlands,2,0,0,0,0,0
falkland-islands,1,0,0,0,0,0
papua-new-guinea,1,0,0,0,0,0
timor-leste,1,0,0,0,0,0
