Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
channel-islands,193,3,0,21,0,0
nigeria,184,2,20,10,0,11
faroe-islands,177,0,81,4,0,6
mauritius,169,7,0,8,1,0
palestine,161,1,18,27,0,0
sri-lanka,151,4,21,5,1,0
montenegro,144,2,0,21,0,0
venezuela,144,3,43,0,0,0
martinique,138,3,27,3,0,0
congo-kinshasa,134,13,3,25,4,0
georgia,134,0,26,17,0,3
brunei,133,1,56,2,0,4
guadeloupe,128,6,24,3,0,0
kosovo,125,1,10,0,0,0
bolivia,123,8,1,8,1,0
mayotte,116,1,10,15,0,0
kyrgyzstan,116,0,5,5,0,2
cambodia,110,0,34,1,0,9
kenya,110,3,4,29,2,1
niger,98,5,0,24,0,0
isle-of-man,95,1,0,27,0,0
trinidad-and-tobago,94,5,1,4,0,0
gibraltar,88,0,46,7,0,12
rwanda,84,0,0,2,0,0
paraguay,77,3,2,8,0,1
liechtenstein,75,0,0,3,0,0
aruba,60,0,1,5,0,0
monaco,60,1,2,5,0,0
madagascar,59,0,0,2,0,0
bangladesh,56,6,25,2,0,0
guinea,52,0,0,22,0,0
french-guiana,51,0,15,0,0,0
jamaica,47,3,2,3,0,0
guatemala,47,1,12,8,0,0
barbados,46,0,0,1,0,0
uganda,45,0,0,1,0,0
macau,41,0,10,0,0,0
el-salvador,41,2,0,8,0,0
djibouti,40,0,0,7,0,0
zambia,39,1,0,3,1,0
togo,39,2,17,3,0,7
mali,36,3,0,5,0,0
bermuda,35,0,11,3,0,1
ethiopia,29,0,3,0,0,1
cayman-islands,28,1,0,6,0,0
congo-brazzaville,22,2,2,0,0,2
saint-martin,22,1,2,7,0,0
eritrea,22,0,0,7,0,0
bahamas,24,1,1,3,0,0
gabon,21,1,0,3,0,0
burma,20,1,0,4,0,0
myanmar,20,1,0,4,0,0
tanzania,20,1,2,0,0,1
guyana,19,4,0,0,1,0
maldives,19,0,13,0,0,0
sint-maarten,18,1,6,2,0,0
new-caledonia,18,0,1,2,0,0
haiti,16,0,1,0,0,0
syria,16,2,0,6,0,0
equatorial-guinea,15,0,1,0,0,0
mongolia,14,0,2,0,0,0
namibia,14,0,3,0,0,1
benin,13,0,1,0,0,0
saint-lucia,13,0,1,0,0,0
dominica,12,0,0,0,0,0
libya,11,1,0,1,1,0
curaçao,11,1,3,0,0,0
seychelles,10,0,0,0,0,0
greenland,10,0,2,0,0,0
suriname,10,0,0,0,0,0
grenada,10,0,0,1,0,0
mozambique,10,0,0,0,0,0
laos,10,0,0,0,0,0
guinea-bissau,9,0,0,0,0,0
zimbabwe,9,1,0,1,0,0
antigua-and-barbuda,9,0,0,2,0,0
eswatini,9,0,0,0,0,0
ms-zaandam,9,2,0,0,0,0
sudan,8,2,2,1,0,0
chad,8,0,0,1,0,0
angola,8,2,1,0,0,0
fiji,7,0,0,2,0,0
vatican-city,7,0,0,1,0,0
st-barth,6,0,1,0,0,0
nepal,6,0,1,1,0,0
cabo-verde,6,1,0,0,0,0
liberia,6,0,0,0,0,0
mauritania,6,1,2,0,0,0
somalia,5,0,1,0,0,0
turks-and-caicos,5,0,0,0,0,0
bhutan,5,0,1,1,0,1
nicaragua,5,1,0,0,0,0
montserrat,5,0,0,0,0,0
gambia,4,1,2,0,0,0
botswana,4,1,0,0,0,0
car,3,0,0,0,0,0
malawi,3,0,0,3,0,0
belize,3,0,0,0,0,0
anguilla,3,0,0,1,0,0
british-virgin-islands,3,0,0,0,0,0
burundi,3,0,0,1,0,0
sierra-leone,2,0,0,0,0,0
caribbean-netherlands,2,0,0,0,0,0
st-vincent-grenadines,2,0,1,0,0,0
papua-new-guinea,1,0,0,0,0,0
timor-leste,1,0,0,0,0,0
