Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
albania,333,20,99,29,3,10
jordan,323,5,74,13,0,16
burkina-faso,318,16,66,16,0,16
afghanistan,299,7,10,18,1,0
cuba,288,6,15,19,0,0
oman,277,2,61,25,1,4
uzbekistan,266,2,25,39,0,0
honduras,264,15,3,42,0,0
channel-islands,262,5,13,30,1,0
san-marino,259,32,27,8,0,1
ivory-coast,245,1,25,27,0,6
vietnam,240,0,90,1,0,5
senegal,219,2,72,12,1,6
palestine,217,1,21,23,0,0
nigeria,214,4,25,4,0,0
malta,213,0,2,11,0,0
ghana,205,5,31,0,0,0
montenegro,201,2,1,27,0,0
mauritius,196,7,7,10,0,7
faroe-islands,181,0,93,2,0,2
sri-lanka,166,5,27,7,1,3
georgia,162,1,36,7,1,8
venezuela,155,7,52,2,0,0
congo-kinshasa,154,18,3,6,2,0
martinique,145,3,27,2,0,0
kyrgyzstan,144,1,9,14,0,3
niger,144,8,0,24,3,0
bolivia,139,10,1,7,1,0
brunei,135,1,66,1,0,1
kosovo,135,1,16,9,0,6
guadeloupe,134,7,24,4,0,0
mayotte,134,2,14,6,0,4
isle-of-man,126,1,0,12,0,0
kenya,126,4,4,4,0,0
cambodia,114,0,50,0,0,15
guinea,111,0,5,38,0,3
trinidad-and-tobago,103,6,1,5,0,0
rwanda,102,0,0,13,0,0
gibraltar,98,0,52,3,0,6
paraguay,96,3,12,4,0,6
liechtenstein,77,1,0,2,1,0
bangladesh,70,8,30,9,2,4
madagascar,70,0,0,0,0,0
monaco,66,1,3,2,0,0
aruba,64,0,1,2,0,0
guatemala,61,2,15,11,1,3
french-guiana,61,0,22,4,0,0
el-salvador,56,3,2,10,0,2
jamaica,53,3,7,0,0,0
barbados,52,0,0,1,0,0
djibouti,50,0,8,1,0,0
uganda,48,0,0,0,0,0
macau,44,0,10,2,0,0
togo,41,3,17,1,0,0
mali,41,3,1,2,0,1
zambia,39,1,2,0,0,0
ethiopia,38,0,4,3,0,1
bermuda,35,0,14,0,0,0
cayman-islands,35,1,1,6,0,0
eritrea,29,0,0,7,0,0
bahamas,28,4,0,4,1,0
saint-martin,24,2,5,2,1,3
guyana,23,4,0,0,0,0
sint-maarten,23,4,6,0,0,0
congo-brazzaville,22,2,2,0,0,0
myanmar,21,1,0,1,0,0
gabon,21,1,1,0,0,0
haiti,20,0,1,2,0,0
tanzania,20,1,3,0,0,0
maldives,19,0,13,0,0,0
guinea-bissau,18,0,0,3,0,0
libya,18,1,0,1,0,0
new-caledonia,17,0,1,0,0,0
equatorial-guinea,16,0,1,0,0,0
syria,16,2,2,0,0,2
benin,16,0,2,0,0,0
antigua-and-barbuda,15,0,0,0,0,0
dominica,14,0,0,0,0,0
saint-lucia,14,0,1,1,0,0
mongolia,14,0,2,0,0,0
namibia,14,0,3,0,0,0
fiji,12,0,0,5,0,0
grenada,12,0,0,0,0,0
curaçao,11,1,5,0,0,2
greenland,11,0,3,1,0,0
liberia,10,1,3,3,1,3
angola,10,2,2,2,0,1
seychelles,10,0,0,0,0,0
sudan,10,2,2,0,0,0
laos,10,0,0,0,0,0
suriname,10,1,0,0,0,0
mozambique,10,0,1,0,0,1
zimbabwe,9,1,0,0,0,0
ms-zaandam,9,2,0,0,0,0
eswatini,9,0,0,0,0,0
nepal,9,0,1,3,0,0
chad,9,0,0,1,0,0
car,8,0,0,0,0,0
cabo-verde,7,1,0,1,0,0
st-vincent-grenadines,7,0,1,0,0,0
vatican-city,7,0,0,0,0,0
somalia,7,0,1,0,0,0
montserrat,6,0,0,0,0,0
mauritania,6,1,2,0,0,0
st-barth,6,0,1,0,0,0
nicaragua,5,1,0,0,0,0
bhutan,5,0,2,0,0,0
turks-and-caicos,5,0,0,0,0,0
botswana,4,1,0,0,0,0
sierra-leone,4,0,0,2,0,0
malawi,4,0,0,1,0,0
gambia,4,1,2,0,0,0
belize,4,0,0,0,0,0
burundi,3,0,0,0,0,0
anguilla,3,0,0,0,0,0
british-virgin-islands,3,0,0,0,0,0
caribbean-netherlands,2,0,0,0,0,0
timor-leste,1,0,0,0,0,0
falkland-islands,1,0,0,0,0,0
papua-new-guinea,1,0,0,0,0,0
